bibcode,cornerDOI,name,date
2015arXiv151003579A,10.5281/zenodo.11020,triangle,10/2015
2017JOSS.2017..188X,10.21105/joss.00024,corner,04/2017
2017A&C....19....1T,10.21105/joss.00024,corner,04/2017
2017AJ....153...93K,10.21105/joss.00024,corner,03/2017
2017JCAP...10..045N,10.21105/joss.00024,corner,10/2017
2017arXiv171007293S,10.21105/joss.00024,corner,10/2017
2015ExA....39..207N,10.5281/zenodo.11020,triangle,06/2015
2017arXiv170600434M,10.5281/zenodo.11020,triangle,06/2017
2017ApJ...848....9S,10.21105/joss.00024,corner,10/2017
2017ApJ...845..148P,10.5281/zenodo.11020,triangle,08/2017
2016arXiv161003508A,10.5281/zenodo.11020,triangle,10/2016
2017MNRAS.472.4144V,10.21105/joss.00024,corner,12/2017
2017MNRAS.472.2534K,10.5281/zenodo.53155,corner,12/2017
2016ApJ...829....9M,10.5281/zenodo.45906,corner,09/2016
2017MNRAS.471.1468E,10.21105/joss.00024,corner,10/2017
2016ApJ...819...80P,10.5281/zenodo.45906,corner,03/2016
2017ApJ...845...81P,2017ascl.soft02002F,corner,08/2017
2017arXiv170501178K,10.21105/joss.00024,corner,05/2017
2015arXiv151104647P,10.5281/zenodo.11020,triangle,11/2015
2017arXiv170600427M,10.5281/zenodo.11020,triangle,06/2017
2017arXiv170805009T,10.21105/joss.00024,corner,08/2017
2017ApJ...848...83L,10.21105/joss.00024,corner,10/2017
2016ApJ...824..101Y,10.5281/zenodo.11020,triangle,06/2016
2016arXiv161005301S,10.21105/joss.00024,corner,10/2016
2016arXiv160704906M,10.5281/zenodo.45906,corner,07/2016
2017arXiv170807714C,10.21105/joss.00024,corner,08/2017
2016arXiv160700874A,10.5281/zenodo.10598,triangle,07/2016
2016arXiv160500006S,10.5281/zenodo.11020,triangle,04/2016
2016ApJ...832..108M,10.21105/joss.00024,corner,12/2016
2015JCAP...08..043A,10.5281/zenodo.11020,triangle,08/2015
2017arXiv171100859N,10.21105/joss.00024,corner,11/2017
2017arXiv170604990M,10.21105/joss.00024,corner,06/2017
2015ApJ...815...63A,10.5281/zenodo.11020,triangle,12/2015
2016MNRAS.458..881A,10.5281/zenodo.11020,triangle,05/2016
2017arXiv170511089N,10.21105/joss.00024,corner,05/2017
2016ApJ...833..232P,10.21105/joss.00024,corner,12/2016
2017arXiv171001748K,10.21105/joss.00024,corner,10/2017
